pxl_row_in_fullres,pxl_col_in_fullres
3398,4545
3455,4249
3795,4053
3001,4840
3454,4643
3568,4644
3681,4841
3171,4742
3455,4446
3681,4053
3567,4841
3738,4545
3738,4348
3171,4545
3625,4348
3341,4643
3058,4742
3114,4840
3681,4447
3794,4644
3681,4644
3851,4742
3398,4742
3737,4939
3058,4939
3964,4940
3851,4151
3341,4249
3795,4250
3228,4446
3511,4151
4021,4644
3624,4742
3907,4841
3397,4939
3738,4151
3511,4742
3624,4939
3568,4052
3285,4545
3284,4939
3624,4545
3285,4348
4021,4250
4021,4447
3511,4545
3964,4151
3398,4151
3907,4644
3908,4250
3511,4348
3964,4743
3625,4151
3454,4841
3511,4939
3850,4939
3001,4643
3964,4348
3681,4250
3172,4348
3737,4742
3568,4249
3851,4348
3228,4643
3115,4643
4021,4053
3228,4840
3058,4545
3908,4447
3341,4446
3228,4249
3115,4446
3964,4545
3284,4742
3908,4053
3851,4545
3794,4447
3285,4151
3398,4348
3341,4840
4020,4841
3794,4841
3568,4447
3171,4939
